,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
1739,Harold Varner III,92.0,71.045,302.0,59.33,66.24,-0.377,0.478,0.101,4,0,2016,1327320,819
1740,Harris English,97.0,70.463,299.2,55.01,64.83,0.592,-0.017,0.574,3,0,2016,2014283,1270
1741,Henrik Norlander,71.0,71.157,288.1,63.39,68.24,0.018,0.049,0.066,0,0,2016,290889,273
1742,Hideki Matsuyama,76.0,70.034,294.5,62.04,68.11,-0.025,1.315,1.29,8,1,2016,4193954,728
1743,Hiroshi Iwata,85.0,71.693,288.8,58.34,59.5,0.154,-0.775,-0.621,1,0,2016,634862,339
1744,Hudson Swafford,104.0,70.875,306.9,61.43,68.8,0.203,0.1,0.302,1,0,2016,1027314,981
1745,Hunter Mahan,61.0,72.105,294.8,57.13,62.75,0.291,-1.063,-0.773,0,0,2016,230694,174
1746,J.B. Holmes,77.0,70.523,314.5,51.68,65.17,-0.153,0.634,0.481,6,0,2016,2969608,360
1747,J.J. Henry,68.0,72.019,287.3,59.33,67.51,-0.237,-0.475,-0.711,0,0,2016,280674,162
1748,James Hahn,85.0,71.245,290.9,60.71,64.58,-0.245,0.001,-0.244,3,1,2016,2367521,1452
1749,Jamie Lovemark,91.0,70.896,304.8,57.32,65.32,0.142,0.321,0.463,5,0,2016,1940890,1232
1750,Jason Bohn,67.0,71.126,276.3,67.56,66.33,0.032,-0.252,-0.22,3,0,2016,1369705,670
1751,Jason Day,76.0,69.313,304.2,50.46,67.23,1.13,0.987,2.118,10,3,2016,8045112,1440
1752,Jason Dufner,105.0,70.212,293.2,62.83,70.15,-0.353,0.84,0.488,6,1,2016,2879884,522
1753,Jason Gore,78.0,71.627,289.2,63.63,66.52,-0.079,-0.453,-0.532,0,0,2016,416654,307
1754,Jason Kokrak,89.0,70.57,307.4,58.41,68.66,-0.27,0.83,0.56,4,0,2016,1934250,1554
1755,Jeff Overton,69.0,71.466,285.0,59.25,63.85,-0.416,-0.076,-0.492,1,0,2016,410246,289
1756,Jerry Kelly,76.0,70.937,278.2,71.2,66.67,-0.214,0.381,0.167,2,0,2016,1328657,834
1757,Jhonattan Vegas,97.0,70.903,304.4,56.57,69.71,0.098,0.505,0.604,5,1,2016,2478980,362
1758,Jim Furyk,52.0,70.13,280.8,69.09,68.27,0.067,0.463,0.53,3,0,2016,1538204,745
1759,Jim Herman,93.0,71.206,291.1,65.59,65.65,-0.278,0.098,-0.18,2,1,2016,2091274,1415
1760,Jimmy Walker,85.0,70.393,301.3,48.31,63.96,0.243,0.649,0.892,5,1,2016,4148546,652
1761,John Huh,86.0,71.104,284.7,68.3,66.21,-0.209,0.158,-0.05,3,0,2016,1007219,690
1762,John Senden,88.0,70.717,289.7,60.07,68.86,0.329,0.18,0.51,1,0,2016,989841,719
1763,Johnson Wagner,86.0,70.781,289.4,61.13,69.38,0.273,0.095,0.368,3,0,2016,1083787,808
1764,Jon Curran,99.0,71.145,271.9,64.35,63.02,0.407,-0.354,0.053,3,0,2016,1902481,950
1765,Jonas Blixt,79.0,71.19,290.3,57.79,60.96,0.52,-0.621,-0.101,2,0,2016,1115322,576
1766,Jordan Spieth,80.0,69.52,295.4,58.14,63.52,0.758,0.811,1.569,8,2,2016,5538470,1168
1767,Justin Rose,65.0,70.148,303.9,57.9,67.92,-0.197,1.325,1.128,5,0,2016,2085365,1191
1768,Justin Thomas,99.0,70.571,301.3,53.94,65.63,-0.185,0.506,0.32,7,1,2016,4126366,748
1769,K.J. Choi,73.0,71.093,275.3,66.18,65.37,0.352,-0.174,0.178,2,0,2016,1328448,705
1770,Keegan Bradley,82.0,70.741,300.0,64.57,69.58,-0.631,0.929,0.298,2,0,2016,899985,605
1771,Kelly Kraft,63.0,71.333,289.8,60.36,67.42,0.185,-0.146,0.039,1,0,2016,403437,273
1772,Ken Duke,58.0,71.88,280.2,64.18,59.26,-0.524,-0.21,-0.734,2,0,2016,773025,309
1773,Kevin Chappell,93.0,70.501,296.3,60.68,66.37,-0.31,1.08,0.77,8,0,2016,4501050,1320
1774,Kevin Kisner,97.0,70.489,289.0,64.92,65.19,0.667,-0.119,0.548,6,1,2016,3424354,436
1775,Kevin Na,96.0,70.298,279.6,65.3,66.73,0.074,0.553,0.627,8,0,2016,3441291,400
1776,Kevin Streelman,82.0,71.054,289.1,64.37,69.17,-0.383,0.447,0.064,2,0,2016,1601177,1042
1777,Kyle Reifers,115.0,70.965,287.3,65.29,67.62,0.102,0.047,0.148,5,0,2016,1539578,1013
1778,Kyle Stanley,92.0,70.986,288.1,64.54,67.17,-0.131,0.272,0.141,0,0,2016,580734,501
1779,Louis Oosthuizen,63.0,70.327,294.0,61.67,68.15,-0.021,0.857,0.836,3,0,2016,2422079,1468
1780,Lucas Glover,75.0,70.534,298.3,64.37,71.63,-0.192,0.764,0.572,2,0,2016,948927,590
1781,Luke Donald,81.0,70.918,282.9,56.69,64.61,0.148,0.23,0.378,2,0,2016,1634515,1055
1782,Luke Guthrie,57.0,71.416,289.3,55.53,63.13,0.404,-0.847,-0.444,1,0,2016,427442,234
1783,Luke List,79.0,70.754,306.9,50.98,67.17,-0.273,0.709,0.436,2,0,2016,751001,481
1784,Marc Leishman,89.0,70.554,295.0,60.55,65.31,0.252,0.258,0.51,2,0,2016,1566824,923
1785,Mark Hubbard,101.0,71.362,280.2,64.82,63.52,0.272,-0.487,-0.216,0,0,2016,642942,503
1786,Mark Wilson,66.0,71.436,274.7,66.2,64.96,-0.155,-0.399,-0.554,0,0,2016,306866,225
1787,Martin Laird,82.0,70.867,298.5,55.14,67.66,0.157,0.14,0.297,3,0,2016,1224680,811
1788,Martin Piller,59.0,71.813,286.6,58.97,64.33,0.562,-0.962,-0.4,2,0,2016,570740,278
1789,Matt Jones,83.0,71.223,294.8,57.55,63.96,-0.306,-0.071,-0.376,0,0,2016,712723,445
1790,Matt Kuchar,100.0,69.844,285.8,65.67,67.82,0.381,0.932,1.314,10,0,2016,3819678,526
